Date,Price,Open,High,Low,Chg%
"Apr 08, 2019",32186,31900,32287,31900,1.44%
"Apr 09, 2019",32201,32225,32274,32121,0.05%
"Apr 10, 2019",32281,32161,32293,32086,0.25%
"Apr 11, 2019",31750,32232,32232,31734,-1.64%
"Apr 12, 2019",31862,31838,31980,31805,0.35%
"Apr 15, 2019",31856,31800,31874,31680,-0.02%
"Apr 16, 2019",31548,31800,31865,31523,-0.97%
"Apr 17, 2019",31480,31648,31648,31453,-0.22%
"Apr 18, 2019",31463,31450,31616,31403,-0.05%
"Apr 22, 2019",31596,31550,31780,31550,0.42%
"Apr 23, 2019",31562,31606,31640,31450,-0.11%
"Apr 24, 2019",31818,31500,31838,31499,0.81%
"Apr 25, 2019",31911,31786,32025,31704,0.29%
"Apr 26, 2019",31939,31980,31996,31758,0.09%
"Apr 30, 2019",31756,31909,31909,31706,-0.57%
"May 01, 2019",31740,31713,31764,31655,-0.05%
"May 02, 2019",31345,31681,31681,31250,-1.24%
"May 03, 2019",31447,31331,31475,31240,0.33%
"May 06, 2019",31563,31500,31650,31471,0.37%
"May 07, 2019",31729,31585,31745,31517,0.53%
"May 08, 2019",31685,31750,31925,31660,-0.14%
"May 09, 2019",31916,31713,32050,31708,0.73%
"May 10, 2019",31904,31906,32003,31782,-0.04%
"May 13, 2019",32498,31987,32538,31862,1.86%
"May 14, 2019",32241,32450,32454,32231,-0.79%
"May 15, 2019",32259,32320,32419,32150,0.06%
"May 16, 2019",31976,32162,32309,31911,-0.88%
"May 17, 2019",31791,31981,32021,31755,-0.58%
"May 20, 2019",31537,31679,31679,31376,-0.80%
"May 21, 2019",31416,31480,31524,31376,-0.38%
"May 22, 2019",31422,31440,31538,31391,0.02%
"May 23, 2019",31667,31347,31735,31232,0.78%
"May 24, 2019",31530,31646,31680,31483,-0.43%
"May 27, 2019",31613,31555,31695,31555,0.26%
"May 28, 2019",31540,31621,31693,31485,-0.23%
"May 29, 2019",31733,31634,31845,31622,0.61%
"May 30, 2019",31809,31560,31884,31534,0.24%
"May 31, 2019",32098,31821,32124,31821,0.91%
"Jun 03, 2019",32404,32207,32450,32162,0.95%
"Jun 04, 2019",32482,32374,32596,32299,0.24%
"Jun 05, 2019",32700,32700,32700,32700,0.67%
"Jun 06, 2019",32800,32688,32834,32688,0.31%
"Jun 07, 2019",32936,32721,33040,32672,0.41%
"Jun 10, 2019",32660,32850,32850,32630,-0.84%
"Jun 11, 2019",32632,32692,32705,32486,-0.09%
"Jun 12, 2019",32745,32674,32848,32674,0.35%
"Jun 13, 2019",32959,32758,32980,32726,0.65%
"Jun 14, 2019",33045,32980,33344,32980,0.26%
"Jun 17, 2019",33021,33059,33140,32886,-0.07%
"Jun 18, 2019",33024,33045,33258,32915,0.01%
"Jun 19, 2019",33079,32985,33115,32971,0.17%
"Jun 20, 2019",34026,33340,34068,33340,2.86%
"Jun 21, 2019",34167,34070,34468,33900,0.41%
"Jun 24, 2019",34441,34290,34475,34254,0.80%
"Jun 25, 2019",34556,34490,34893,34396,0.33%
"Jun 26, 2019",34387,34465,34465,34176,-0.49%
"Jun 27, 2019",34175,34333,34333,34030,-0.62%
"Jun 28, 2019",34206,34484,34484,34152,0.09%
"Jul 01, 2019",33643,34138,34138,33620,-1.65%
"Jul 02, 2019",34042,33691,34070,33691,1.19%
"Jul 03, 2019",34246,34280,34499,34188,0.60%
"Jul 04, 2019",34217,34300,34315,34125,-0.08%
"Jul 05, 2019",34583,34250,35100,34205,1.07%
"Jul 08, 2019",34579,34550,34828,34510,-0.01%
"Jul 09, 2019",34582,34525,34626,34340,0.01%
"Jul 10, 2019",34839,34532,34885,34370,0.74%
"Jul 11, 2019",34701,34939,35145,34675,-0.40%
"Jul 12, 2019",34905,34742,34950,34708,0.59%
"Jul 15, 2019",34882,34897,34969,34768,-0.07%
"Jul 16, 2019",34812,34883,34946,34710,-0.20%
"Jul 17, 2019",35090,34787,35139,34682,0.80%
"Jul 18, 2019",35156,35050,35191,34880,0.19%
"Jul 19, 2019",35036,35321,35409,35000,-0.34%
"Jul 22, 2019",35132,35109,35206,35050,0.27%
"Jul 23, 2019",35021,35000,35150,34886,-0.32%
"Jul 24, 2019",35027,35049,35094,34925,0.02%
"Jul 25, 2019",34817,35000,35117,34780,-0.60%
"Jul 26, 2019",34773,34819,34976,34723,-0.13%
"Jul 29, 2019",34709,34750,34830,34670,-0.18%
"Jul 30, 2019",34529,34704,34773,34291,-0.52%
"Jul 31, 2019",34517,34543,34666,34415,-0.03%
"Aug 01, 2019",34916,34297,35141,34265,1.16%
"Aug 02, 2019",35577,34997,35644,34947,1.89%
"Aug 05, 2019",36511,36192,36540,36020,2.63%
"Aug 06, 2019",37497,37327,37530,36921,2.70%
"Aug 07, 2019",38218,37830,38488,37613,1.92%
"Aug 08, 2019",37757,37994,38090,37624,-1.21%
"Aug 09, 2019",37992,37976,38148,37815,0.62%
"Aug 12, 2019",38241,38257,38349,38152,0.66%
"Aug 13, 2019",37775,38449,38666,37344,-1.22%
"Aug 14, 2019",38163,37788,38340,37693,1.03%
"Aug 16, 2019",37938,38143,38220,37705,-0.59%
"Aug 19, 2019",37823,37737,37888,37605,-0.30%
"Aug 20, 2019",38004,37750,38077,37678,0.48%
"Aug 21, 2019",37993,37903,38041,37814,-0.03%
"Aug 22, 2019",38165,37950,38220,37916,0.45%
"Aug 23, 2019",38765,38052,38821,37960,1.57%
"Aug 26, 2019",38828,39134,39340,38800,0.16%
"Aug 27, 2019",39044,38797,39084,38713,0.56%
"Aug 28, 2019",39165,38947,39290,38861,0.31%
"Aug 29, 2019",38803,39180,39425,38675,-0.92%
"Aug 30, 2019",38656,38650,38948,38611,-0.38%
"Sep 02, 2019",39087,38859,39119,38846,1.11%
"Sep 03, 2019",39680,38915,39740,38898,1.52%
"Sep 04, 2019",39823,39651,39885,39358,0.36%
"Sep 05, 2019",38894,39582,39628,38514,-2.33%
"Sep 06, 2019",38553,38800,38978,38376,-0.88%
"Sep 09, 2019",38472,38553,38697,38272,-0.21%
"Sep 10, 2019",38253,38355,38495,38205,-0.57%
"Sep 11, 2019",37974,38207,38259,37930,-0.73%
"Sep 12, 2019",37750,37898,38228,37662,-0.59%
"Sep 13, 2019",37524,37728,37892,37449,-0.60%
"Sep 16, 2019",38180,37774,38215,37774,1.75%
"Sep 17, 2019",38016,38050,38179,37861,-0.43%
"Sep 18, 2019",37849,37946,37965,37734,-0.44%
"Sep 19, 2019",37686,37756,37787,37532,-0.43%
"Sep 20, 2019",37697,37714,37750,37438,0.03%
"Sep 23, 2019",37924,37800,37974,37731,0.60%
"Sep 24, 2019",38108,37825,38190,37770,0.49%
"Sep 25, 2019",37602,38072,38194,37485,-1.33%
"Sep 26, 2019",37794,37688,37849,37452,0.51%
"Sep 27, 2019",37750,37753,37836,37310,-0.12%
"Sep 30, 2019",36913,37550,37640,36832,-2.22%
"Oct 01, 2019",37311,37003,37513,36771,1.08%
"Oct 03, 2019",37990,37825,38099,37735,1.82%
"Oct 04, 2019",38055,37925,38350,37837,0.17%
"Oct 07, 2019",38123,38410,38470,38037,0.18%
"Oct 08, 2019",38383,38320,38599,38225,0.68%
"Oct 09, 2019",38497,38451,38574,38272,0.30%
"Oct 10, 2019",38159,38526,38545,38077,-0.88%
